t(ms),V(mV)
0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000104e-03,-6.782599999999998656e-04
1.000000000000000021e-02,-1.357426445779842845e-03
1.500000000000000291e-02,-2.037435987067803128e-03
2.000000000000000042e-02,-2.718223818411837078e-03
2.500000000000000139e-02,-3.399723653465845565e-03
3.000000000000000583e-02,-4.081867698860396944e-03
3.500000000000000333e-02,-4.764586627651494488e-03
4.000000000000000083e-02,-5.447809552340886208e-03
4.500000000000000527e-02,-6.131463997461312522e-03
5.000000000000000278e-02,-6.815475871719993591e-03
5.500000000000000028e-02,-7.499769439693563557e-03
6.000000000000001166e-02,-8.184267293067544469e-03
6.500000000000000222e-02,-8.868890321413363739e-03
7.000000000000000666e-02,-9.553557682495840073e-03
7.500000000000001110e-02,-1.023818677210388932e-02
8.000000000000000167e-02,-1.092269319339717742e-02
8.500000000000000611e-02,-1.160699072576129587e-02
9.000000000000001055e-02,-1.229099129316392827e-02
9.500000000000000111e-02,-1.297460493200439276e-02
1.000000000000000056e-01,-1.365773975844879196e-02
1.050000000000000100e-01,-1.434030193524295053e-02
1.100000000000000006e-01,-1.502219563799514664e-02
1.150000000000000050e-01,-1.570332302092056209e-02
1.200000000000000233e-01,-1.638358418203924444e-02
1.250000000000000000e-01,-1.706287712781930435e-02
1.300000000000000044e-01,-1.774109773725683972e-02
1.350000000000000089e-01,-1.841813972538410699e-02
1.400000000000000133e-01,-1.909389460619720369e-02
1.449999999999999900e-01,-1.976825165499449671e-02
1.500000000000000222e-01,-2.044109787011683457e-02
1.549999999999999989e-01,-2.111231793408055099e-02
1.600000000000000033e-01,-2.178179417409397897e-02
1.650000000000000355e-01,-2.244940652194827094e-02
1.700000000000000122e-01,-2.311503247327298394e-02
1.750000000000000167e-01,-2.377854704614694448e-02
1.800000000000000211e-01,-2.443982273905460217e-02
1.850000000000000255e-01,-2.509872948817807106e-02
1.900000000000000022e-01,-2.575513462401484918e-02
1.950000000000000344e-01,-2.640890282731113078e-02
2.000000000000000111e-01,-2.705989608430037913e-02
2.050000000000000155e-01,-2.770797364123682438e-02
2.100000000000000200e-01,-2.835299195821328749e-02
2.150000000000000244e-01,-2.899480466225263370e-02
2.200000000000000011e-01,-2.963326249966203793e-02
2.250000000000000333e-01,-3.026821328763903973e-02
2.300000000000000100e-01,-3.089950186511826805e-02
2.350000000000000144e-01,-3.152697004284749777e-02
2.400000000000000466e-01,-3.215045655268164437e-02
2.450000000000000511e-01,-3.276979699608302543e-02
2.500000000000000000e-01,-3.338482379181618998e-02
2.550000000000000044e-01,-3.399536612282533926e-02
2.600000000000000089e-01,-3.460124988228223397e-02
2.650000000000000688e-01,-3.520229761879249686e-02
2.700000000000000178e-01,-3.579832848074767510e-02
2.750000000000000222e-01,-3.638915815981061397e-02
2.800000000000000266e-01,-3.697459883352147147e-02
2.850000000000000311e-01,-3.755445910701125239e-02
2.899999999999999800e-01,-3.812854395381000405e-02
2.950000000000000400e-01,-3.869665465573625396e-02
3.000000000000000444e-01,-3.925858874185436664e-02
3.050000000000000488e-01,-3.981413992648615702e-02
3.099999999999999978e-01,-4.036309804626302122e-02
3.150000000000000022e-01,-4.090524899620460314e-02
3.200000000000000067e-01,-4.144037466480986198e-02
3.250000000000000666e-01,-4.196825286814622608e-02
3.300000000000000711e-01,-4.248865728292235133e-02
3.350000000000000200e-01,-4.300135737852976703e-02
3.400000000000000244e-01,-4.350611834803858741e-02
3.450000000000000289e-01,-4.400270103813211375e-02
3.500000000000000333e-01,-4.449086187796526953e-02
3.549999999999999822e-01,-4.497035280693122833e-02
3.600000000000000422e-01,-4.544092120132078860e-02
3.650000000000000466e-01,-4.590230979985851500e-02
3.700000000000000511e-01,-4.635425662809973535e-02
3.750000000000000000e-01,-4.679649492167217706e-02
3.800000000000000044e-01,-4.722875304834574239e-02
3.850000000000000089e-01,-4.765075442891394258e-02
3.900000000000000688e-01,-4.806221745687011548e-02
3.950000000000000178e-01,-4.846285541686137094e-02
4.000000000000000222e-01,-4.885237640190325664e-02
4.050000000000000266e-01,-4.923048322933742255e-02
4.100000000000000311e-01,-4.959687335551500598e-02
4.150000000000000355e-01,-4.995123878918768245e-02
4.200000000000000400e-01,-5.029326600358842436e-02
4.250000000000000444e-01,-5.062263584718387777e-02
4.300000000000000488e-01,-5.093902345307963625e-02
4.350000000000000533e-01,-5.124209814706007921e-02
4.400000000000000022e-01,-5.153152335424374120e-02
4.450000000000000067e-01,-5.180695650433517901e-02
4.500000000000000666e-01,-5.206804893545412261e-02
4.550000000000000711e-01,-5.231444579652239080e-02
4.600000000000000200e-01,-5.254578594818893472e-02
4.650000000000000244e-01,-5.276170186227301800e-02
4.700000000000000289e-01,-5.296181951970555662e-02
4.750000000000000333e-01,-5.314575830694821118e-02
4.800000000000000933e-01,-5.331313091086974099e-02
4.850000000000000422e-01,-5.346354321205887272e-02
4.900000000000001021e-01,-5.359659417655277674e-02
4.949999999999999956e-01,-5.371187574595994579e-02
5.000000000000000000e-01,-5.380897272595615982e-02
5.050000000000000044e-01,-5.388746267313192922e-02
5.100000000000000089e-01,-5.394691578016973244e-02
5.150000000000000133e-01,-5.398689475932888504e-02
5.200000000000000178e-01,-5.400695472421608578e-02
5.250000000000000222e-01,-5.400664306981905333e-02
5.300000000000001377e-01,-5.398549935078080647e-02
5.350000000000000311e-01,-5.394305515789166866e-02
5.400000000000000355e-01,-5.387883399277614699e-02
5.450000000000000400e-01,-5.379235114075133634e-02
5.500000000000000444e-01,-5.368311354183363804e-02
5.550000000000000488e-01,-5.355061965987006206e-02
5.600000000000000533e-01,-5.339435934977046494e-02
5.650000000000000577e-01,-5.321381372281670102e-02
5.700000000000000622e-01,-5.300845501002456744e-02
5.750000000000000666e-01,-5.277774642353424972e-02
5.799999999999999600e-01,-5.252114201600471127e-02
5.849999999999999645e-01,-5.223808653798744928e-02
5.900000000000000799e-01,-5.192801529325464377e-02
5.950000000000000844e-01,-5.159035399205686573e-02
6.000000000000000888e-01,-5.122451860228493387e-02
6.050000000000000933e-01,-5.082991519851087076e-02
6.100000000000000977e-01,-5.040593980888226355e-02
6.150000000000001021e-01,-4.995197825984444562e-02
6.199999999999999956e-01,-4.946740601866483206e-02
6.250000000000000000e-01,-4.895158803373336059e-02
6.300000000000000044e-01,-4.840387857261306548e-02
6.350000000000000089e-01,-4.782362105781468725e-02
6.400000000000000133e-01,-4.721014790026887425e-02
6.450000000000000178e-01,-4.656278033046978848e-02
6.500000000000001332e-01,-4.588082822726345655e-02
6.550000000000001377e-01,-4.516358994425441475e-02
6.600000000000001421e-01,-4.441035213380385011e-02
6.650000000000000355e-01,-4.362038956859266847e-02
6.700000000000000400e-01,-4.279296496072248351e-02
6.750000000000000444e-01,-4.192732877832779786e-02
6.800000000000000488e-01,-4.102271905967241894e-02
6.850000000000000533e-01,-4.007836122470313789e-02
6.900000000000000577e-01,-3.909346788403372103e-02
6.950000000000000622e-01,-3.806723864533224228e-02
7.000000000000000666e-01,-3.699885991708466021e-02
7.049999999999999600e-01,-3.588750470970784173e-02
7.099999999999999645e-01,-3.473233243398487352e-02
7.150000000000000799e-01,-3.353248869679591182e-02
7.200000000000000844e-01,-3.228710509411761992e-02
7.250000000000000888e-01,-3.099529900126437795e-02
7.300000000000000933e-01,-2.965617336034466825e-02
7.350000000000000977e-01,-2.826881646490586597e-02
7.400000000000001021e-01,-2.683230174174108806e-02
7.450000000000001066e-01,-2.534568752983164946e-02
7.500000000000000000e-01,-2.380801685639897386e-02
7.550000000000000044e-01,-2.221831721003988264e-02
7.600000000000000089e-01,-2.057560031091948752e-02
7.650000000000000133e-01,-1.887886187799601295e-02
7.700000000000000178e-01,-1.712708139325218315e-02
7.750000000000001332e-01,-1.531922186290803414e-02
7.800000000000001377e-01,-1.345422957559034433e-02
7.850000000000001421e-01,-1.153103385743409204e-02
7.900000000000000355e-01,-9.548546824091758145e-03
7.950000000000000400e-01,-7.505663129626641110e-03
8.000000000000000444e-01,-5.401259712266679065e-03
8.050000000000000488e-01,-3.234195536995766035e-03
8.100000000000000533e-01,-1.003311334959930239e-03
8.150000000000000577e-01,1.292570660333760592e-03
8.200000000000000622e-01,3.654646980047191081e-03
8.250000000000000666e-01,6.084133190291199714e-03
8.300000000000000711e-01,8.582264165676105686e-03
8.350000000000000755e-01,1.115029436615269653e-02
8.400000000000000799e-01,1.378949811716294500e-02
8.450000000000000844e-01,1.650116989311908519e-02
8.500000000000000888e-01,1.928662460422891911e-02
8.550000000000000933e-01,2.214719788668449360e-02
8.600000000000000977e-01,2.508424639623049041e-02
8.650000000000001021e-01,2.809914810512782399e-02
8.700000000000001066e-01,3.119330260252707251e-02
8.750000000000000000e-01,3.436813139826539604e-02
8.800000000000000044e-01,3.762507823009972330e-02
8.850000000000000089e-01,4.096560937438781941e-02
8.900000000000000133e-01,4.439121396022788213e-02
8.950000000000000178e-01,4.790340428706615222e-02
9.000000000000001332e-01,5.150371614578086454e-02
9.050000000000001377e-01,5.519370914324960020e-02
9.100000000000001421e-01,5.897496703040581295e-02
9.150000000000001465e-01,6.284909803378899151e-02
9.200000000000000400e-01,6.681773519059149014e-02
9.250000000000000444e-01,7.088253668720355394e-02
9.300000000000000488e-01,7.504518620125660844e-02
9.350000000000000533e-01,7.930739324716323813e-02
9.400000000000000577e-01,8.367089352515047485e-02
9.450000000000000622e-01,8.813744927378176774e-02
9.500000000000000666e-01,9.270884962596029344e-02
9.550000000000000711e-01,9.738691096840554340e-02
9.600000000000001865e-01,1.021734773045920586e-01
9.650000000000000799e-01,1.070704206211379461e-01
9.700000000000000844e-01,1.120796412576282736e-01
9.750000000000000888e-01,1.172030682798562845e-01
9.800000000000002043e-01,1.224426598564633401e-01
9.849999999999999867e-01,1.278004036389558395e-01
9.899999999999999911e-01,1.332783171450749315e-01
9.949999999999999956e-01,1.388784481454923558e-01
1.000000000000000000e+00,1.446028750538035368e-01
1.005000000000000115e+00,1.504537073197849129e-01
1.010000000000000009e+00,1.564330858258817236e-01
1.015000000000000124e+00,1.625431832868876048e-01
1.020000000000000018e+00,1.687862046527751902e-01
1.025000000000000133e+00,1.751643875146340623e-01
1.030000000000000027e+00,1.816800025136681707e-01
1.035000000000000142e+00,1.883353537532023725e-01
1.040000000000000036e+00,1.951327792136437200e-01
1.045000000000000151e+00,2.020746511703394588e-01
1.050000000000000044e+00,2.091633766142706463e-01
1.055000000000000160e+00,2.164013976755151947e-01
1.060000000000000275e+00,2.237911920494116413e-01
1.065000000000000169e+00,2.313352734253494580e-01
1.070000000000000062e+00,2.390361919181084871e-01
1.074999999999999956e+00,2.468965345016649049e-01
1.080000000000000071e+00,2.549189254453773645e-01
1.084999999999999964e+00,2.631060267524614193e-01
1.090000000000000080e+00,2.714605386006561094e-01
1.094999999999999973e+00,2.799851997849821528e-01
1.100000000000000089e+00,2.886827881624837722e-01
1.104999999999999982e+00,2.975561210988444394e-01
1.110000000000000098e+00,3.066080559167579933e-01
1.115000000000000213e+00,3.158414903459331735e-01
1.120000000000000107e+00,3.252593629746030057e-01
1.125000000000000222e+00,3.348646537024047576e-01
1.130000000000000115e+00,3.446603841944894109e-01
1.135000000000000231e+00,3.546496183367151556e-01
1.140000000000000124e+00,3.648354626917703625e-01
1.145000000000000240e+00,3.752210669560669398e-01
1.150000000000000133e+00,3.858096244172377620e-01
1.155000000000000027e+00,3.966043724120636993e-01
1.159999999999999920e+00,4.076085927846499479e-01
1.165000000000000036e+00,4.188256123446637003e-01
1.169999999999999929e+00,4.302588033254368116e-01
1.175000000000000044e+00,4.419115838417305708e-01
1.180000000000000160e+00,4.537874183469502998e-01
1.185000000000000053e+00,4.658898180895914010e-01
1.190000000000000169e+00,4.782223415686869261e-01
1.195000000000000062e+00,4.907885949880222975e-01
1.200000000000000178e+00,5.035922327088697692e-01
1.205000000000000071e+00,5.166369577009892744e-01
1.210000000000000187e+00,5.299265219916323710e-01
1.215000000000000080e+00,5.434647271122745593e-01
1.220000000000000195e+00,5.572554245427958630e-01
1.225000000000000089e+00,5.713025161528137996e-01
1.230000000000000204e+00,5.856099546398695344e-01
1.235000000000000098e+00,6.001817439641513596e-01
1.239999999999999991e+00,6.150219397794338683e-01
1.245000000000000107e+00,6.301346498598974222e-01
1.250000000000000000e+00,6.455240345224833032e-01
1.255000000000000115e+00,6.611943070444273873e-01
1.260000000000000009e+00,6.771497340756054140e-01
1.265000000000000124e+00,6.933946360453093760e-01
1.270000000000000018e+00,7.099333875630632340e-01
1.275000000000000133e+00,7.267704178130767190e-01
1.280000000000000027e+00,7.439102109419176712e-01
1.285000000000000142e+00,7.613573064389776990e-01
1.290000000000000036e+00,7.791162995092880683e-01
1.295000000000000151e+00,7.971918414382327400e-01
1.300000000000000266e+00,8.155886399476892645e-01
1.305000000000000160e+00,8.343114595431195823e-01
1.310000000000000275e+00,8.533651218511135728e-01
