t(ms),V(mV)
0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000104e-03,-6.747599999999998347e-04
1.000000000000000021e-02,-1.350426505975563587e-03
1.500000000000000291e-02,-2.026936167881993045e-03
2.000000000000000042e-02,-2.704224180550779920e-03
2.500000000000000139e-02,-3.382224257978477637e-03
3.000000000000000583e-02,-4.060868607200104029e-03
3.500000000000000333e-02,-4.740087901740670448e-03
4.000000000000000083e-02,-5.419811254638319184e-03
4.500000000000000527e-02,-6.099966191032487640e-03
5.000000000000000278e-02,-6.780478620310383293e-03
5.500000000000000028e-02,-7.461272807804981456e-03
6.000000000000001166e-02,-8.142271346037658133e-03
6.500000000000000222e-02,-8.823395125498446206e-03
7.000000000000000666e-02,-9.504563304956834685e-03
7.500000000000001110e-02,-1.018569328129587809e-02
8.000000000000000167e-02,-1.086670065886236047e-02
8.500000000000000611e-02,-1.154749921832554441e-02
9.000000000000001055e-02,-1.222800088503701345e-02
9.500000000000000111e-02,-1.290811569688399101e-02
1.000000000000000056e-01,-1.358775177162835357e-02
1.050000000000000100e-01,-1.426681527372352862e-02
1.100000000000000006e-01,-1.494521038060128357e-02
1.150000000000000050e-01,-1.562283924842033239e-02
1.200000000000000233e-01,-1.629960197726857199e-02
1.250000000000000000e-01,-1.697539657581061470e-02
1.300000000000000044e-01,-1.765011892537221225e-02
1.350000000000000089e-01,-1.832366274345296683e-02
1.400000000000000133e-01,-1.899591954665872870e-02
1.449999999999999900e-01,-1.966677861304478789e-02
1.500000000000000222e-01,-2.033612694386101663e-02
1.549999999999999989e-01,-2.100384922468984464e-02
1.600000000000000033e-01,-2.166982778596794959e-02
1.650000000000000355e-01,-2.233394256288228838e-02
1.700000000000000122e-01,-2.299607105463106344e-02
1.750000000000000167e-01,-2.365608828304005540e-02
1.800000000000000211e-01,-2.431386675052459381e-02
1.850000000000000255e-01,-2.496927639738730567e-02
1.900000000000000022e-01,-2.562218455844170878e-02
1.950000000000000344e-01,-2.627245591895147059e-02
2.000000000000000111e-01,-2.691995246987510457e-02
2.050000000000000155e-01,-2.756453346240568189e-02
2.100000000000000200e-01,-2.820605536179501827e-02
2.150000000000000244e-01,-2.884437180045161878e-02
2.200000000000000011e-01,-2.947933353030157688e-02
2.250000000000000333e-01,-3.011078837440137046e-02
2.300000000000000100e-01,-3.073858117779148386e-02
2.350000000000000144e-01,-3.136255375757949354e-02
2.400000000000000466e-01,-3.198254485224122368e-02
2.450000000000000511e-01,-3.259839007012833856e-02
2.500000000000000000e-01,-3.320992183717057927e-02
2.550000000000000044e-01,-3.381696934376075825e-02
2.600000000000000089e-01,-3.441935849081050047e-02
2.650000000000000688e-01,-3.501691183496426912e-02
2.700000000000000178e-01,-3.560944853295952561e-02
2.750000000000000222e-01,-3.619678428512027035e-02
2.800000000000000266e-01,-3.677873127797131464e-02
