Time (ms),Vert[0],Vert[1],Vert[2],Vert[3],Vert[4],Vert[5],Vert[6],Vert[7],
60.75,42.2994277422743,42.2973818627505,42.293878176169,42.290960682715,42.2886281566665,42.2868796194015,42.2857143358663,42.2851318164802,
60.8,40.8939396239108,40.8918939397302,40.8883906350179,40.8854734929315,40.8831412696611,40.8813929721241,40.880227854427,40.8796454197656,
60.85,39.3063587147268,39.3043131554694,39.3008100949613,39.2978931775672,39.2955611479113,39.2938130036666,39.2926479920113,39.2920656115246,
60.9,37.5762309636964,37.5741854234653,37.5706824001411,37.5677655169428,37.5654335167369,37.5636853957973,37.5625204002573,37.5619380280015,
60.95,35.7423891724323,35.7403435068854,35.7368402385675,35.7339231299099,35.7315909353898,35.7298426605762,35.728677558577,35.7280951319285,
61,33.8397640023951,33.8377180324411,33.8342141690198,33.8312965127385,33.8289638462722,33.8272151977528,33.8260498372128,33.8254672784726,
61.05,31.896471507828,31.894425036667,31.8909201934147,31.8880016354918,31.8856681919982,31.8839189282077,31.8827531420103,31.8821703657983,
61.1,29.9327157447412,29.930668586501,29.9271624000525,29.9242426061284,29.9219080974682,29.920157990257,29.9189916205668,29.9184085462449,
61.15,27.9620176976446,27.959969707311,27.9564618941755,27.9535406033903,27.9512048047648,27.9494536761375,27.9482865998171,27.9477031644743,
61.2,25.9941166353115,25.9920677296644,25.9885581271548,25.9856351898108,25.9832979722193,25.981545720035,25.9803778664241,25.9797940339604,
61.25,24.0384427654885,24.0363929311257,24.0328815130438,24.0299569050402,24.0276182477196,24.0258648555424,24.0246962132729,24.0241119778813,
61.3,22.1072664367146,22.1052157260299,22.1017025948055,22.0987764104048,22.0964363945962,22.0946819267595,22.0935125403411,22.0929279247627,
61.35,20.2179104746554,20.2158589914909,20.2123443501332,20.2094167761506,20.2070755628554,20.2053201468486,20.2041501044833,20.2035651537819,
61.4,18.3935028886944,18.39145076535,18.3879348725004,18.3850061469429,18.3826639412778,18.3809077395211,18.3797371535762,18.3791519251617,
61.45,16.6618307856408,16.6597781548394,16.6562612699663,16.6533316315996,16.6509886393335,16.6492318147615,16.6480607979596,16.6474753494232,
61.5,15.0522546812588,15.0502016503038,15.0466839831801,15.043753625038,15.0414100125256,15.0396526968624,15.0384813403328,15.0378957182331,
61.55,13.5914302218654,13.589376858016,13.5858585401294,13.5829275832048,13.5805834547147,13.5788257305211,13.5776540913804,13.5770683248983,
61.6,12.2993236919129,12.2972700239453,12.2937511115501,12.2908196076049,12.2884750077414,12.286716910334,12.2855450130133,12.2849591146305,
61.65,11.1869957610117,11.1849417931788,11.1814222945873,11.1784902512662,11.1761451866138,11.1743867212033,11.1732145693062,11.1726285408633,
61.7,10.2566903247431,10.2546360532678,10.2511159610939,10.2481833715967,10.2458378362915,10.2440789982322,10.2429065885432,10.2423204283971,
61.75,9.50362155595404,9.50156698003768,9.49804629271811,9.49511315560314,9.49276714839985,9.49100793670394,9.48983526853857,9.48924897633912,
